9.1.7 TITULAÇÃO DOCENTE,,,,,,,,,,,,,,,,,,,
2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes
,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Doutorado,40h,1,,Doutorado,40h,1
,Especialização,40h,1,,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,2
,Graduação,40h,1,,Graduação,40h,4,,Graduação,40h,4,,Graduação,40h,3,,Graduação,40h,1
,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,1
,Doutorado,DE,1,,Doutorado,DE,2,,Doutorado,DE,3,,Doutorado,DE,3,,Doutorado,DE,4
,Especialização,DE,4,,Especialização,DE,3,,Especialização,DE,3,,Especialização,DE,3,,Especialização,DE,2
,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco)
,Mestrado,DE,11,,Mestrado,DE,13,,Mestrado,DE,13,,Mestrado,DE,13,,Mestrado,DE,13
Campus Avançado Porteirinha,Especialização,20h,(Em branco),Campus Avançado Porteirinha,Doutorado,20h,(Em branco),Campus Avançado Porteirinha,Doutorado,20h,(Em branco),Campus Avançado Porteirinha,Doutorado,20h,(Em branco),Campus Avançado Porteirinha,Doutorado,20h,(Em branco)
,Mestrado,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco)
,Especialização,40h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,1,,Mestrado,20h,(Em branco)
,Mestrado,40h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Doutorado,40h,(Em branco)
,Especialização,DE,5,,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Especialização,40h,(Em branco)
,Mestrado,DE,7,,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Mestrado,40h,2
Campus Diamantina,Doutorado,20h,(Em branco),,Graduação,40h,1,,Graduação,40h,1,,Graduação,40h,(Em branco),,Doutorado,DE,4
,Especialização,20h,(Em branco),,Mestrado,40h,(Em branco),,Mestrado,40h,1,,Mestrado,40h,2,,Especialização,DE,3
,Mestrado,20h,(Em branco),,Doutorado,DE,2,,Doutorado,DE,3,,Doutorado,DE,3,,Mestrado,DE,8
,Doutorado,40h,(Em branco),,Especialização,DE,3,,Especialização,DE,3,,Especialização,DE,3,Campus Diamantina,Doutorado,20h,(Em branco)
,Especialização,40h,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Especialização,20h,(Em branco)
,Mestrado,40h,3,,Mestrado,DE,8,,Mestrado,DE,9,,Mestrado,DE,10,,Mestrado,20h,(Em branco)
,Doutorado,DE,5,Campus Diamantina,Doutorado,20h,(Em branco),Campus Diamantina,Doutorado,20h,(Em branco),Campus Diamantina,Doutorado,20h,(Em branco),,Doutorado,40h,2
,Especialização,DE,3,,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,40h,(Em branco)
,Mestrado,DE,14,,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Graduação,20h,(Em branco),,Mestrado,40h,1
Campus Januária,Doutorado,20h,2,,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Mestrado,20h,(Em branco),,Doutorado,DE,13
,Especialização,20h,1,,Doutorado,40h,(Em branco),,Doutorado,40h,1,,Doutorado,40h,1,,Especialização,DE,1
,Graduação,20h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Mestrado,DE,15
