9.1.11 GASTOS COM INVESTIMENTOS
2018
Investimentos e Inversões
"R$ 7.096.391,42"
2019
Investimentos e Inversões
"R$ 7.708.242,25"
2020
Investimentos e Inversões
"R$ 10.310.602,88"
2021
Investimentos e Inversões
"R$ 7.330.908,51"
2022
Investimentos e Inversões
"R$ 9.604.570,12"
