9.1.9 GASTOS COM PESSOAL
2018
Gastos de Pessoal
"R$ 203.409.841,69"
2019
Gastos de Pessoal
"R$ 233.335.684,18"
2020
Gastos de Pessoal
"R$ 238.396.390,95"
2021
Gastos de Pessoal
"R$ 247.677.543,97"
2022
Gastos de Pessoal
"R$ 255.378.677,88"
