9.1.4 EFICIÊNCIA ACADÊMICA POR CICLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,2019,,,,,,2020,,,,,,2021,,,,,,2022,,,,,
Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %,Unidade,Tipo de Curso,Eficiência Acadêmica,Conclusão Ciclo %,Evasão Ciclo %,Retenção Ciclo %
Campus Januária,Bacharelado,"17,40%","11,36%","53,79%",Campus Januária,Bacharelado,"25,30%","16,33%","48,30%","35,37%",,Técnico,"44,10%","44,07%","55,93%",(Em branco),Campus Diamantina,Especialização (Lato Sensu),"47,60%","47,62%","52,38%",(Em branco),,Técnico,"28,40%","28,19%","71,04%","0,77%"
,Licenciatura,"13,00%","9,70%","64,93%",,Licenciatura,"3,80%","2,63%","65,79%","31,58%",Campus Januária,Bacharelado,"19,40%","9,03%","37,50%","53,47%",,Qualificação Profissional (FIC),"56,50%","56,47%","43,53%",(Em branco),Campus Diamantina,Especialização (Lato Sensu),"77,60%","77,57%","22,37%","0,07%"
,Qualificação Profissional (FIC),"100,00%","100,00%",(Em branco),,Qualificação Profissional (FIC),"87,10%","87,13%","12,87%",(Em branco),,Especialização (Lato Sensu),"76,00%","76,00%","24,00%",(Em branco),,Técnico,"57,70%","55,16%","40,48%","4,37%",,Qualificação Profissional (FIC),"55,40%","55,42%","44,58%",(Em branco)
,Técnico,"36,90%","36,75%","62,82%",,Técnico,"63,40%","62,75%","36,27%","0,98%",,Licenciatura,"13,60%","9,93%","63,12%","26,95%",Campus Januária,Bacharelado,"4,50%","1,82%","38,18%","60,00%",,Técnico,"82,90%","80,56%","16,67%","2,78%"
,Tecnologia,(Em branco),(Em branco),"66,67%",,Tecnologia,(Em branco),(Em branco),"62,50%","37,50%",,Qualificação Profissional (FIC),"44,00%","43,96%","56,04%",(Em branco),,Especialização (Lato Sensu),"85,70%","85,71%","14,29%",(Em branco),Campus Januária,Bacharelado,"7,50%","4,35%","53,26%","42,39%"
Campus Montes Claros,Bacharelado,"21,70%","17,11%","61,84%",Campus Montes Claros,Bacharelado,"17,20%","11,11%","53,33%","35,56%",,Técnico,"37,20%","36,51%","61,59%","1,90%",,Licenciatura,(Em branco),(Em branco),"84,62%","15,38%",,Licenciatura,"4,00%","3,21%","76,28%","20,51%"
,Qualificação Profissional (FIC),"100,00%","100,00%",(Em branco),,Qualificação Profissional (FIC),"84,50%","84,49%","15,51%",(Em branco),,Tecnologia,"9,40%","5,88%","56,86%","37,25%",,Qualificação Profissional (FIC),"45,10%","45,11%","54,89%",(Em branco),,Qualificação Profissional (FIC),"56,30%","56,27%","43,73%",(Em branco)
,Técnico,"41,50%","41,35%","58,32%",,Técnico,"57,30%","56,21%","41,83%","1,96%",Campus Montes Claros,Bacharelado,"31,00%","19,71%","43,80%","36,50%",,Técnico,"48,80%","38,37%","40,23%","21,40%",,Técnico,"52,20%","47,85%","43,87%","8,28%"
Campus Pirapora,Bacharelado,"59,30%","38,10%","26,19%",Campus Pirapora,Bacharelado,"45,80%","32,14%","38,10%","29,76%",,Qualificação Profissional (FIC),"70,80%","70,83%","29,17%",(Em branco),,Tecnologia,"6,70%","4,55%","63,64%","31,82%",Campus Montes Claros,Bacharelado,"10,30%","6,72%","58,82%","34,45%"
,Técnico,"44,60%","44,24%","54,92%",,Qualificação Profissional (FIC),"50,00%","50,00%","50,00%",(Em branco),,Técnico,"41,50%","36,84%","51,97%","11,18%",Campus Montes Claros,Mestrado Profissional,"88,90%","66,67%","8,33%","25,00%",,Mestrado Profissional,"58,80%","40,00%","28,00%","32,00%"
