9.1.5 RETENÇÃO POR CICLO,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022,,,,
Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas
Centro de Referência em Educação a Distância,Concluintes,Concluída,Em fluxo,443,,Evadidos,Transf. externa,Em fluxo,6,Centro de Referência em Educação a Distância,Concluintes,Concluída,Em fluxo,2.981,,Evadidos,Transf. externa,Em fluxo,4,Centro de Referência em Educação a Distância,Concluintes,Concluída,Em fluxo,5
Centro de Referência em Educação a Distância,Concluintes,Integralizada,Em fluxo,(Em branco),,Evadidos,Transf. interna,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,1,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,(Em branco)
,Em curso,Em curso,Em fluxo,4.549,Centro de Referência Corinto,Concluintes,Concluída,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,2.035,Centro de Referência Corinto,Concluintes,Concluída,Em fluxo,69,,Em curso,Em curso,Em fluxo,1.047
,Em curso,Em curso,Retido,945,,Concluintes,Integralizada,Em fluxo,(Em branco),,Em curso,Em curso,Retido,323,,Concluintes,Integralizada,Em fluxo,(Em branco),,Em curso,Em curso,Retido,641
,Evadidos,Abandono,Em fluxo,229,,Em curso,Em curso,Em fluxo,379,,Evadidos,Abandono,Em fluxo,634,,Em curso,Em curso,Em fluxo,(Em branco),,Evadidos,Abandono,Em fluxo,199
,Evadidos,Cancelada,Em fluxo,1,,Em curso,Em curso,Retido,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Em curso,Em curso,Retido,93,,Evadidos,Desligada,Em fluxo,145
,Evadidos,Desligada,Em fluxo,280,,Evadidos,Abandono,Em fluxo,38,,Evadidos,Desligada,Em fluxo,3,,Evadidos,Abandono,Em fluxo,71,,Evadidos,Reprovado,Em fluxo,1
,Evadidos,Reprovado,Em fluxo,338,,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,3.977,,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Transf. externa,Em fluxo,(Em branco)
,Evadidos,Transf. externa,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,(Em branco),,Evadidos,Transf. externa,Em fluxo,(Em branco),,Evadidos,Desligada,Em fluxo,(Em branco),,Evadidos,Transf. interna,Em fluxo,(Em branco)
,,,,,,Evadidos,Reprovado,Em fluxo,(Em branco),,,,,,,Evadidos,Reprovado,Em fluxo,(Em branco),,,,,
,,,,,,Evadidos,Transf. externa,Em fluxo,(Em branco),,,,,,,Evadidos,Transf. externa,Em fluxo,(Em branco),,,,,
,,,,,,Evadidos,Transf. interna,Em fluxo,1,,,,,,,Evadidos,Transf. interna,Em fluxo,(Em branco),,,,,
,,,,,Centro de Referência em Educação a Distância,Concluintes,Concluída,Em fluxo,1.056,,,,,,Centro de Referência em Educação a Distância,Concluintes,Concluída,Em fluxo,385,,,,,
,,,,,,Concluintes,Integralizada,Em fluxo,(Em branco),,,,,,,Concluintes,Integralizada,Em fluxo,(Em branco),,,,,
,,,,,,Em curso,Em curso,Em fluxo,3.484,,,,,,,Em curso,Em curso,Em fluxo,1.333,,,,,
,,,,,,Em curso,Em curso,Retido,710,,,,,,,Em curso,Em curso,Retido,1.364,,,,,
,,,,,,Evadidos,Abandono,Em fluxo,572,,,,,,,Evadidos,Abandono,Em fluxo,231,,,,,
,,,,,,Evadidos,Cancelada,Em fluxo,(Em branco),,,,,,,Evadidos,Cancelada,Em fluxo,(Em branco),,,,,
,,,,,,Evadidos,Desligada,Em fluxo,2,,,,,,,Evadidos,Desligada,Em fluxo,11,,,,,
,,,,,,Evadidos,Reprovado,Em fluxo,840,,,,,,,Evadidos,Reprovado,Em fluxo,380,,,,,
,,,,,,Evadidos,Transf. externa,Em fluxo,(Em branco),,,,,,,Evadidos,Transf. externa,Em fluxo,(Em branco),,,,,
,,,,,,Evadidos,Transf. interna,Em fluxo,(Em branco),,,,,,,Evadidos,Transf. interna,Em fluxo,(Em branco),,,,,
