9.1.5 RETENÇÃO POR CICLO,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022,,,,
Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas,Unidade,Situação,Fluxo Escolar,Fluxo Retido,Matrículas
,Evadidos,Transf. externa,Em fluxo,36,,Evadidos,Desligada,Em fluxo,40,,Evadidos,Transf. externa,Em fluxo,13,,Evadidos,Desligada,Em fluxo,28,,Evadidos,Transf. interna,Em fluxo,(Em branco)
Campus Avançado Janaúba,Concluintes,Concluída,Em fluxo,169,,Evadidos,Reprovado,Em fluxo,(Em branco),Campus Avançado Janaúba,Concluintes,Concluída,Em fluxo,799,,Evadidos,Reprovado,Em fluxo,(Em branco),Campus Avançado Janaúba,Concluintes,Concluída,Em fluxo,366
,Concluintes,Integralizada,Em fluxo,48,,Evadidos,Transf. externa,Em fluxo,38,,Concluintes,Integralizada,Em fluxo,15,,Evadidos,Transf. externa,Em fluxo,31,,Concluintes,Integralizada,Em fluxo,(Em branco)
,Em curso,Em curso,Em fluxo,614,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,238,,Evadidos,Transf. interna,Em fluxo,1,,Em curso,Em curso,Em fluxo,315
,Em curso,Em curso,Retido,12,Campus Avançado Janaúba,Concluintes,Concluída,Em fluxo,350,,Em curso,Em curso,Retido,441,Campus Avançado Janaúba,Concluintes,Concluída,Em fluxo,305,,Em curso,Em curso,Retido,53
,Evadidos,Abandono,Em fluxo,25,,Concluintes,Integralizada,Em fluxo,1,,Evadidos,Abandono,Em fluxo,14,,Concluintes,Integralizada,Em fluxo,(Em branco),,Evadidos,Abandono,Em fluxo,(Em branco)
,Evadidos,Cancelada,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,131,,Evadidos,Cancelada,Em fluxo,(Em branco),,Em curso,Em curso,Em fluxo,275,,Evadidos,Desligada,Em fluxo,15
,Evadidos,Desligada,Em fluxo,1,,Em curso,Em curso,Retido,665,,Evadidos,Desligada,Em fluxo,3,,Em curso,Em curso,Retido,154,,Evadidos,Reprovado,Em fluxo,286
,Evadidos,Reprovado,Em fluxo,96,,Evadidos,Abandono,Em fluxo,7,,Evadidos,Reprovado,Em fluxo,17,,Evadidos,Abandono,Em fluxo,1,,Evadidos,Transf. externa,Em fluxo,7
,Evadidos,Transf. externa,Em fluxo,1,,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Transf. externa,Em fluxo,3,,Evadidos,Cancelada,Em fluxo,(Em branco),,Evadidos,Transf. interna,Em fluxo,(Em branco)
Campus Avançado Porteirinha,Concluintes,Concluída,Em fluxo,301,,Evadidos,Desligada,Em fluxo,47,Campus Avançado Porteirinha,Concluintes,Concluída,Em fluxo,659,,Evadidos,Desligada,Em fluxo,(Em branco),Campus Avançado Porteirinha,Concluintes,Concluída,Em fluxo,139
,Concluintes,Integralizada,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,146,,Concluintes,Integralizada,Em fluxo,(Em branco),,Evadidos,Reprovado,Em fluxo,236,,Concluintes,Integralizada,Em fluxo,(Em branco)
,Em curso,Em curso,Em fluxo,271,,Evadidos,Transf. externa,Em fluxo,4,,Em curso,Em curso,Em fluxo,371,,Evadidos,Transf. externa,Em fluxo,5,,Em curso,Em curso,Em fluxo,593
,Em curso,Em curso,Retido,4,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Em curso,Em curso,Retido,454,,Evadidos,Transf. interna,Em fluxo,(Em branco),,Em curso,Em curso,Retido,126
,Evadidos,Abandono,Em fluxo,919,Campus Avançado Porteirinha,Concluintes,Concluída,Em fluxo,224,,Evadidos,Abandono,Em fluxo,588,Campus Avançado Porteirinha,Concluintes,Concluída,Em fluxo,295,,Evadidos,Abandono,Em fluxo,193
,Evadidos,Cancelada,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,(Em branco),,Evadidos,Cancelada,Em fluxo,(Em branco),,Concluintes,Integralizada,Em fluxo,6,,Evadidos,Desligada,Em fluxo,17
,Evadidos,Desligada,Em fluxo,24,,Em curso,Em curso,Em fluxo,1.415,,Evadidos,Desligada,Em fluxo,25,,Em curso,Em curso,Em fluxo,728,,Evadidos,Reprovado,Em fluxo,91
